#Collected Data-14
#Intensity_unit=counts
5.0000 104.0000
5.0200 122.0000
5.0400 111.0000
5.0600 134.0000
5.0800 114.0000
5.1000 118.0000
5.1200 133.0000
5.1400 106.0000
5.1600 115.0000
5.1800 122.0000
5.2000 122.0000
5.2200 114.0000
5.2400 141.0000
5.2600 126.0000
5.2800 110.0000
5.3000 130.0000
5.3200 125.0000
5.3400 132.0000
5.3600 115.0000
5.3800 122.0000
5.4000 104.0000
5.4200 138.0000
5.4400 116.0000
5.4600 133.0000
5.4800 127.0000
5.5000 123.0000
5.5200 107.0000
5.5400 115.0000
5.5600 127.0000
5.5800 105.0000
5.6000 99.0000
5.6200 123.0000
5.6400 101.0000
5.6600 123.0000
5.6800 126.0000
5.7000 113.0000
5.7200 107.0000
5.7400 133.0000
5.7600 106.0000
5.7800 132.0000
5.8000 124.0000
5.8200 107.0000
5.8400 118.0000
5.8600 136.0000
5.8800 107.0000
5.9000 109.0000
5.9200 88.0000
5.9400 105.0000
5.9600 108.0000
5.9800 103.0000
6.0000 110.0000
6.0200 118.0000
6.0400 101.0000
6.0600 113.0000
6.0800 93.0000
6.1000 105.0000
6.1200 108.0000
6.1400 108.0000
6.1600 99.0000
6.1800 98.0000
6.2000 93.0000
6.2200 115.0000
6.2400 110.0000
6.2600 109.0000
6.2800 115.0000
6.3000 107.0000
6.3200 102.0000
6.3400 102.0000
6.3600 93.0000
6.3800 110.0000
6.4000 98.0000
6.4200 107.0000
6.4400 101.0000
6.4600 98.0000
6.4800 74.0000
6.5000 110.0000
6.5200 78.0000
6.5400 86.0000
6.5600 90.0000
6.5800 100.0000
6.6000 89.0000
6.6200 112.0000
6.6400 86.0000
6.6600 107.0000
6.6800 87.0000
6.7000 97.0000
6.7200 83.0000
6.7400 97.0000
6.7600 88.0000
6.7800 106.0000
6.8000 76.0000
6.8200 82.0000
6.8400 98.0000
6.8600 86.0000
6.8800 86.0000
6.9000 89.0000
6.9200 85.0000
6.9400 92.0000
6.9600 98.0000
6.9800 81.0000
7.0000 73.0000
